现在是 2024-12-09 07:45:55，先生，祝您早上、中午、晚上好
example_planner:panda_1 向您问好. example_planner:panda_1 says hello.
interp:panda_1 向您问好. interp:panda_1 says hello.
unnamed_thread 向您问好. unnamed_thread says hello.
panda_plant:panda_1 向您问好. panda_plant:panda_1 says hello.
初始化机器人位置成功
out_tau: VecStorage { data: [5.207999999999999, -41.32877137307172, 157.458, 58.380000000000095, 40.599999999999994, 23.268385686535865, 20.527564281089305], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.230319999999999, -41.50589467895631, 158.13281999999998, 58.630200000000166, 40.774, 23.36810733947815, 20.615539556579687], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.2526399999999995, -41.68301798484091, 158.80764, 58.880399999999966, 40.948, 23.46782899242047, 20.70351483207007], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.274959999999999, -41.86014129072551, 159.48246, 59.13060000000003, 41.122, 23.567550645362758, 20.79149010756045], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.297279999999999, -42.0372645966101, 160.15728000000001, 59.3808000000001, 41.296, 23.667272298305043, 20.87946538305083], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.319599999999999, -42.2143879024947, 160.8321, 59.63100000000017, 41.47, 23.76699395124736, 20.967440658541214], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.341919999999999, -42.3915112083793, 161.50691999999998, 59.881199999999964, 41.644, 23.866715604189647, 21.055415934031608], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.36424, -42.56863451426389, 162.18174000000002, 60.131400000000035, 41.818, 23.966437257131933, 21.14339120952199], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.386559999999999, -42.74575782014849, 162.85656, 60.381600000000105, 41.992, 24.066158910074222, 21.23136648501237], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.408879999999999, -42.92288112603308, 163.53138, 60.63180000000017, 42.166, 24.16588056301654, 21.319341760502752], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.4312, -43.10000443191768, 164.2062, 60.88199999999997, 42.339999999999996, 24.265602215958825, 21.407317035993135], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.453519999999999, -43.27712773780221, 164.88101999999998, 61.13220000000004, 42.513999999999996, 24.36532386890111, 21.495292311483517], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.475839999999999, -43.45425104368681, 165.55584000000002, 61.3824000000001, 42.687999999999995, 24.465045521843432, 21.583267586973896], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.4981599999999995, -43.6313743495714, 166.23066, 61.63260000000017, 42.861999999999995, 24.564767174785718, 21.67124286246428], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.520479999999999, -43.808497655456, 166.90547999999998, 61.882799999999975, 43.036, 24.664488827728004, 21.75921813795466], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.542799999999999, -43.9856209613406, 167.5803, 62.13300000000004, 43.21, 24.76421048067032, 21.847193413445044], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.565119999999999, -44.16274426722519, 168.25512, 62.3832000000001, 43.384, 24.86393213361261, 21.935168688935423], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.587439999999999, -44.33986757310979, 168.92994000000002, 62.63340000000017, 43.558, 24.963653786554897, 22.023143964425817], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.60976, -44.51699087899439, 169.60476, 62.88359999999997, 43.732, 25.063375439497214, 22.1111192399162], nrows: Dyn(7), ncols: Const }
out_tau: VecStorage { data: [5.632079999999999, -44.694114184878984, 170.27957999999998, 63.133800000000036, 43.906, 25.1630970924395, 22.199094515406582], nrows: Dyn(7), ncols: Const }
